idx,skill,tf,df,tfidf,pr
0,법인세 관리,0.01,0,0.0546383180502561,0.00015750103616737573
1,소모품 수입,0.01,0,0.0546383180502561,0.00015750103616737573
2,영문 서신 작성,0.01,0,0.0546383180502561,0.00015750103616737573
3,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00015750103616737573
4,유해화학물질관리자,0.01,0,0.0546383180502561,0.00015750103616737573
5,가구 설치,0.01,0,0.0546383180502561,0.00015750103616737573
6,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00015750103616737573
7,타이어 탈착,0.01,0,0.0546383180502561,0.00015750103616737573
8,현장 조율,0.01,0,0.0546383180502561,0.00015750103616737573
9,경영계획 분석,0.01,0,0.0546383180502561,0.00015750103616737573
10,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00015750103616737573
11,납품계획 세우기,0.01,0,0.0546383180502561,0.00015750103616737573
12,불량재고 처리하기,0.01,0,0.0546383180502561,0.00015750103616737573
13,매뉴얼 업무,0.01,0,0.0546383180502561,0.00015750103616737573
14,건축업무 경험,0.01,0,0.0546383180502561,0.00015750103616737573
15,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00015750103616737573
16,평가계획 수립하기,0.01,0,0.0546383180502561,0.00015750103616737573
17,현장상황파악,0.01,0,0.0546383180502561,0.00015750103616737573
18,인허가관리,0.01,0,0.0546383180502561,0.00015750103616737573
19,사건 수임,0.01,0,0.0546383180502561,0.00015750103616737573
20,PF심의자료 작성,0.01,0,0.0546383180502561,0.00015750103616737573
21,디지털 교육 이해,0.01,0,0.0546383180502561,0.00015750103616737573
22,여행상품개발,0.01,0,0.0546383180502561,0.00015750103616737573
23,주차매출 관리,0.01,0,0.0546383180502561,0.00015750103616737573
24,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00015750103616737573
25,어도비 포토샵,0.01,0,0.0546383180502561,0.00015750103616737573
26,데미지 관리,0.01,0,0.0546383180502561,0.00015750103616737573
27,기관 소통 업무,0.01,0,0.0546383180502561,0.00015750103616737573
28,비디오메타 사용,0.01,0,0.0546383180502561,0.00015750103616737573
29,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00015750103616737573
30,자습감독,0.01,0,0.0546383180502561,0.00015750103616737573
31,JLPT 2급이상,0.01,0,0.0546383180502561,0.00015750103616737573
32,한자 관련 자격증,0.01,0,0.0546383180502561,0.00015750103616737573
33,기성취합,0.01,0,0.0546383180502561,0.00015750103616737573
34,KUBERNETES,0.01,0,0.0546383180502561,0.00015750103616737573
35,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00015750103616737573
36,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00015750103616737573
37,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00015750103616737573
38,데이터 마이닝,0.01,0,0.0546383180502561,0.00015750103616737573
39,채권현황 파악,0.01,0,0.0546383180502561,0.00015750103616737573
40,제품표준서 작성,0.01,0,0.0546383180502561,0.00015750103616737573
41,일용직 투입,0.01,0,0.0546383180502561,0.00015750103616737573
42,영업 손익관리,0.01,0,0.0546383180502561,0.00015750103616737573
43,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00015750103616737573
44,생산검토,0.01,0,0.0546383180502561,0.00015750103616737573
45,화학사고대응,0.01,0,0.0546383180502561,0.00015750103616737573
46,나라사업 발굴,0.01,0,0.0546383180502561,0.00015750103616737573
47,영상 프로그램,0.01,0,0.0546383180502561,0.00015750103616737573
48,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00015750103616737573
49,운영 원칙 이해,0.01,0,0.0546383180502561,0.00015750103616737573
50,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00015750103616737573
51,법규 검토,0.01,0,0.0546383180502561,0.00015750103616737573
52,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00015750103616737573
53,각종 사무관리,0.01,0,0.0546383180502561,0.00015750103616737573
54,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00015750103616737573
55,가격별 상품 구성,0.01,0,0.0546383180502561,0.00015750103616737573
56,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00015750103616737573
57,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00015750103616737573
58,수입신고서 작성,0.01,0,0.0546383180502561,0.00015750103616737573
59,근무표관리,0.01,0,0.0546383180502561,0.00015750103616737573
60,직업훈련 평가,0.01,0,0.0546383180502561,0.00015750103616737573
61,제품 기술정보,0.01,0,0.0546383180502561,0.00015750103616737573
62,지장물 조서 작성,0.01,0,0.0546383180502561,0.00015750103616737573
63,의료 비품 관리,0.01,0,0.0546383180502561,0.00015750103616737573
64,어도브 프로그램,0.01,0,0.0546383180502561,0.00015750103616737573
65,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00015750103616737573
66,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00015750103616737573
67,에어컨 조립,0.01,0,0.0546383180502561,0.00015750103616737573
68,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00015750103616737573
69,서버 기본 설치,0.01,0,0.0546383180502561,0.00015750103616737573
70,CLAIM 업무,0.01,0,0.0546383180502561,0.00015750103616737573
71,PPT 활용능력,0.01,0,0.0546383180502561,0.00015750103616737573
72,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00015750103616737573
73,중량 점검표,0.01,0,0.0546383180502561,0.00015750103616737573
74,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.00015750103616737573
